iter	RMSE
0	94163.39287
1	91440.04617
2	88892.29344
3	86564.73007
4	84424.68856
5	82495.01425
6	80735.55225
7	79119.95469
8	77590.98479
9	76264.60731
10	75020.31363
11	73920.7051
12	72915.43553
13	71993.32529
14	71125.85241
15	70349.82209
16	69684.79426
17	68993.91561
18	68350.70997
19	67772.2957
20	67289.61107
21	66824.81881
22	66364.62409
23	65927.57299
24	65549.91129
25	65184.83468
26	64904.72823
27	64595.97424
28	64275.11898
29	63939.60705
30	63693.21728
31	63454.24556
32	63201.22224
33	62980.27921
34	62767.4887
35	62546.32157
36	62310.93703
37	62105.78346
38	61908.05658
39	61735.97362
40	61568.77978
41	61389.28382
42	61244.32516
43	61097.56493
44	60920.71128
45	60772.15916
46	60607.2415
47	60511.40276
48	60385.77652
49	60222.35933
50	60091.36295
51	59977.59985
52	59840.3252
53	59717.76242
54	59596.03897
55	59420.25715
56	59321.75723
57	59201.8836
58	59082.07038
59	58986.00446
60	58860.80366
61	58746.18285
62	58642.09282
63	58541.23487
64	58472.64501
65	58422.36558
66	58341.17938
67	58235.46154
68	58149.98355
69	58093.71037
70	58047.63696
71	57960.64187
72	57906.41046
73	57829.68445
74	57779.04982
75	57704.80022
76	57635.33255
77	57568.10414
78	57522.40936
79	57432.60265
80	57387.61154
81	57336.15302
82	57247.56465
83	57201.10077
84	57136.35359
85	57101.38758
86	57039.95819
87	57003.43425
88	56941.4217
89	56898.03944
90	56829.05986
91	56753.82457
92	56705.62501
93	56634.74942
94	56591.0089
95	56524.73725
96	56467.35616
97	56427.31663
98	56360.57127
99	56306.5274
100	56258.28356
101	56197.0837
102	56159.27053
103	56078.72418
104	56020.39028
105	55978.68231
106	55915.18672
107	55852.98557
108	55815.5151
109	55743.10499
110	55716.42864
111	55645.57193
112	55613.13053
113	55574.2019
114	55535.88742
115	55489.02386
116	55444.46888
117	55400.66273
118	55360.07236
119	55305.59171
120	55258.16867
121	55207.00552
122	55181.20379
123	55137.25915
124	55093.77558
125	55055.25607
126	55023.48086
127	54991.27393
128	54942.45248
129	54905.17484
130	54858.18051
131	54824.2746
132	54805.66725
133	54781.59312
134	54757.38409
135	54725.35502
136	54687.37592
137	54645.41605
138	54582.07451
139	54545.64059
140	54515.24751
141	54463.05319
142	54429.98944
143	54403.85915
144	54363.94303
145	54302.80806
146	54246.24219
147	54229.17764
148	54187.71075
149	54158.23454
150	54126.25135
151	54090.76065
152	54047.1532
153	54011.34126
154	53959.01757
155	53934.08679
156	53895.04103
157	53868.27103
158	53848.99882
159	53824.53663
160	53799.60827
161	53771.39514
162	53725.71389
163	53681.96641
164	53640.42722
165	53603.72081
166	53569.70203
167	53527.74861
168	53497.89093
169	53454.76443
170	53432.3071
171	53397.18185
172	53365.67648
173	53333.58627
174	53305.11532
175	53274.4058
176	53248.55507
177	53206.01859
178	53175.05191
179	53134.67204
180	53095.04608
181	53054.77732
182	53019.26756
183	52974.24544
184	52917.97796
185	52888.16048
186	52866.64382
187	52832.11923
188	52797.13596
189	52751.59835
190	52709.16003
191	52678.74206
192	52642.48502
193	52612.59117
194	52579.98353
195	52546.2534
196	52508.67449
197	52485.09934
198	52448.83527
199	52427.67983
200	52390.13162
201	52342.23087
202	52303.16817
203	52256.40742
204	52229.69078
205	52193.57424
206	52170.51425
207	52127.76257
208	52097.85574
209	52070.93132
210	52046.53347
211	52014.2776
212	51986.43095
213	51968.23785
214	51950.02045
215	51933.66429
216	51902.28336
217	51875.0996
218	51846.01316
219	51805.57085
220	51787.10522
221	51753.9434
222	51716.93476
223	51692.48376
224	51668.91977
225	51652.3707
226	51609.41359
227	51588.07643
228	51551.23928
229	51531.4834
230	51517.75822
231	51480.17446
232	51462.60284
233	51440.2887
234	51409.65732
235	51386.72743
236	51353.31163
237	51341.14787
238	51318.59741
239	51300.87505
240	51266.49752
241	51242.46551
242	51229.16229
243	51199.7068
244	51164.98449
245	51147.64529
246	51124.67919
247	51105.14223
248	51086.17207
249	51066.61604
250	51038.95838
251	51017.22645
252	51001.9259
253	50981.14718
254	50952.18199
255	50924.08044
256	50902.83056
257	50874.86498
258	50854.94955
259	50829.09042
260	50800.72693
261	50786.72511
262	50760.61071
263	50734.41893
264	50711.83406
265	50694.83466
266	50679.35099
267	50653.92088
268	50628.93493
269	50595.94988
270	50576.37415
271	50558.89845
272	50544.00661
273	50515.36887
274	50490.56925
275	50468.09263
276	50449.90844
277	50435.10389
278	50416.07432
279	50404.64018
280	50388.51527
281	50372.55502
282	50349.70958
283	50331.04766
284	50316.57093
285	50304.34357
286	50291.63782
287	50274.55133
288	50260.9347
289	50244.893
290	50233.27857
291	50221.49539
292	50201.69799
293	50187.43494
294	50160.32825
295	50141.60309
296	50120.9751
297	50105.39178
298	50081.95818
299	50065.41581
300	50046.46694
301	50036.43945
302	50018.64562
303	50002.91758
304	49990.36159
305	49972.99177
306	49957.82756
307	49945.77675
308	49927.27126
309	49914.39294
310	49894.22155
311	49878.45183
312	49860.90687
313	49842.41437
314	49832.62082
315	49817.75502
316	49790.70482
317	49767.17052
318	49750.4809
319	49719.14698
320	49697.2226
321	49687.10143
322	49677.36371
323	49664.42737
324	49649.21327
325	49634.45227
326	49620.2953
327	49604.5733
328	49583.70251
329	49563.57567
330	49540.8929
331	49529.60621
332	49510.11064
333	49482.75223
334	49470.99134
335	49451.06082
336	49426.34672
337	49414.79391
338	49397.64769
339	49372.77439
340	49352.75759
341	49335.02579
342	49313.73376
343	49303.73808
344	49289.59111
345	49273.60556
346	49261.78033
347	49235.01745
348	49220.53797
349	49202.05474
350	49186.64809
351	49168.8756
352	49161.95733
353	49152.20011
354	49138.47158
355	49119.85396
356	49102.15299
357	49081.5404
358	49068.45927
359	49059.14584
360	49042.09622
361	49017.57039
362	49006.80906
363	48988.39496
364	48978.10164
365	48963.76862
366	48942.62979
367	48930.10781
368	48912.45436
369	48900.77221
370	48883.83355
371	48868.5224
372	48859.65946
373	48840.56267
374	48830.38025
375	48819.23512
376	48807.6728
377	48787.06765
378	48773.5975
379	48758.71066
380	48731.39964
381	48723.48441
382	48711.5834
383	48699.65453
384	48688.81069
385	48680.13546
386	48669.0088
387	48652.46773
388	48637.17518
389	48627.01091
390	48613.18299
391	48603.73988
392	48594.03814
393	48582.63462
394	48561.52968
395	48549.95738
396	48531.27438
397	48512.25174
398	48500.29416
399	48474.20643
400	48460.87363
401	48449.63396
402	48440.53784
403	48420.59705
404	48408.02777
405	48399.85948
406	48386.77865
407	48374.73167
408	48362.33646
409	48343.34327
410	48328.53473
411	48312.03408
412	48298.52459
413	48281.25469
414	48271.91027
415	48254.3367
416	48242.49437
417	48225.86627
418	48214.61201
419	48199.34076
420	48185.06278
421	48172.90595
422	48157.96557
423	48150.47878
424	48136.67967
425	48127.95249
426	48104.20228
427	48092.93761
428	48081.10292
429	48065.49984
430	48055.55185
431	48034.22337
432	48020.54409
433	48008.0794
434	47988.93433
435	47979.21268
436	47968.81584
437	47957.21512
438	47944.79066
439	47933.54619
440	47918.36868
441	47897.75088
442	47882.89478
443	47861.14828
444	47839.86653
445	47825.06775
446	47816.32329
447	47807.94767
448	47790.76741
449	47781.99507
450	47764.84326
451	47749.69785
452	47741.13237
453	47720.42399
454	47708.60585
455	47694.37809
456	47683.15631
457	47666.73939
458	47653.63992
459	47644.64808
460	47635.87259
461	47620.81923
462	47607.87256
463	47594.1788
464	47574.60385
465	47561.0721
466	47548.21257
467	47541.12333
468	47532.2295
469	47517.34649
470	47509.04947
471	47495.07031
472	47483.28828
473	47468.51289
474	47454.8815
475	47444.45633
476	47431.79792
477	47411.84327
478	47402.36348
479	47388.48749
480	47381.18928
481	47371.16684
482	47355.9872
483	47348.09631
484	47339.90531
485	47329.06302
486	47319.04113
487	47309.03535
488	47303.74408
489	47289.52894
490	47280.78746
491	47269.5198
492	47261.66075
493	47248.12996
494	47238.08045
495	47222.85736
496	47212.55482
497	47199.38715
498	47190.58191
499	47174.63992
500	47156.54395
501	47146.21965
502	47132.09227
503	47121.98287
504	47110.46133
505	47097.81649
506	47086.29884
507	47078.76657
508	47065.7422
509	47051.31944
510	47038.61317
511	47032.68246
512	47017.56296
513	47009.99672
514	47000.5492
515	46988.43412
516	46981.25201
517	46966.09742
518	46954.28143
519	46944.5648
520	46934.50588
521	46917.29817
522	46896.93656
523	46885.13822
524	46874.98828
525	46860.45836
526	46840.7326
527	46833.94473
528	46817.54749
529	46803.11684
530	46796.24525
531	46781.01342
532	46772.04845
533	46764.82265
534	46748.70017
535	46738.32948
536	46729.51844
537	46714.60251
538	46697.04141
539	46686.43207
540	46673.51577
541	46654.05049
542	46641.88766
543	46633.02074
544	46622.86508
545	46612.48973
546	46604.98991
547	46598.11302
548	46589.53062
549	46582.47642
