iter	Passed	Remaining
0	3	3009
1	5	2698
2	7	2631
3	10	2552
4	12	2499
5	14	2481
6	17	2477
7	19	2450
8	22	2457
9	24	2447
10	27	2440
11	29	2453
12	32	2446
13	34	2451
14	37	2465
15	40	2468
16	42	2476
17	45	2485
18	48	2488
19	51	2524
20	54	2546
21	57	2550
22	60	2588
23	63	2589
24	66	2594
25	70	2629
26	73	2636
27	76	2641
28	79	2656
29	83	2691
30	86	2699
31	89	2708
32	92	2706
33	96	2732
34	99	2736
35	102	2737
36	105	2752
37	108	2748
38	111	2752
39	114	2759
40	117	2750
41	121	2763
42	124	2763
43	127	2761
44	130	2770
45	133	2765
46	136	2777
47	140	2778
48	143	2776
49	146	2781
50	149	2776
51	152	2780
52	155	2776
53	158	2777
54	161	2779
55	164	2781
56	167	2777
57	171	2778
58	174	2778
59	177	2774
60	180	2779
61	183	2779
62	187	2782
63	190	2782
64	192	2774
65	196	2782
66	199	2780
67	202	2780
68	205	2775
69	208	2771
70	211	2770
71	214	2764
72	218	2770
73	221	2766
74	224	2772
75	227	2768
76	231	2769
77	233	2765
78	237	2770
79	240	2768
80	243	2763
81	246	2764
82	249	2757
83	252	2755
84	255	2748
85	258	2746
86	261	2745
87	265	2747
88	268	2744
89	271	2740
90	273	2735
91	277	2737
92	280	2733
93	284	2739
94	287	2736
95	291	2740
96	294	2739
97	297	2737
98	300	2736
99	303	2728
100	306	2727
101	309	2725
102	312	2724
103	315	2721
104	318	2716
105	322	2716
106	324	2710
107	328	2710
108	330	2705
109	333	2700
110	337	2700
111	340	2698
112	343	2694
113	346	2692
114	349	2687
115	352	2685
116	355	2681
117	358	2676
118	361	2676
119	364	2673
120	367	2669
121	370	2665
122	373	2665
123	377	2665
124	380	2662
125	384	2664
126	387	2661
127	390	2661
128	393	2656
129	396	2653
130	399	2651
131	402	2647
132	405	2644
133	408	2642
134	411	2638
135	415	2636
136	418	2635
137	421	2631
138	424	2626
139	427	2624
140	430	2622
141	433	2622
142	437	2621
143	440	2620
144	444	2620
145	447	2617
146	450	2613
147	453	2608
148	457	2612
149	460	2607
150	462	2602
151	465	2597
152	470	2602
153	472	2595
154	475	2591
155	478	2589
156	482	2589
157	485	2586
158	488	2582
159	492	2585
160	495	2580
161	497	2575
162	501	2577
163	504	2572
164	507	2566
165	511	2567
166	514	2565
167	517	2560
168	520	2561
169	523	2558
170	526	2554
171	530	2554
172	533	2550
173	536	2546
174	540	2547
175	543	2542
176	545	2537
177	549	2537
178	552	2532
179	554	2527
180	558	2528
181	561	2525
182	565	2522
183	568	2521
184	571	2517
185	573	2511
186	577	2511
187	580	2507
188	583	2503
189	586	2501
190	590	2500
191	592	2495
192	597	2497
193	600	2494
194	603	2489
195	605	2485
196	609	2484
197	612	2482
198	616	2480
199	619	2479
200	623	2478
201	626	2474
202	629	2472
203	633	2470
204	635	2466
205	639	2462
206	642	2462
207	645	2457
208	648	2454
